IncidentID,Age,TimeOfDay,DayOfWeek,WeatherCondition,Distraction,Speeding,SeatbeltUsed,Fatality
INC0001,18,Evening,Friday,Clear,Friends,No,No,Yes
INC0002,19,Evening,Saturday,Snowy,Phone,No,No,Yes
INC0003,16,Night,Tuesday,Snowy,Phone,Yes,No,No
INC0004,16,Morning,Tuesday,Rainy,Music,Yes,No,No
INC0005,18,Afternoon,Friday,Foggy,None,No,Yes,Yes
INC0006,17,Morning,Sunday,Clear,None,Yes,Yes,No
INC0007,16,Afternoon,Thursday,Windy,Music,Yes,Yes,No
INC0008,19,Afternoon,Thursday,Clear,Phone,Yes,No,Yes
INC0009,16,Afternoon,Sunday,Snowy,Phone,Yes,Yes,Yes
INC0010,18,Morning,Friday,Rainy,Friends,No,Yes,Yes
INC0011,19,Afternoon,Thursday,Rainy,Friends,Yes,Yes,No
INC0012,16,Evening,Monday,Windy,Friends,No,No,No
INC0013,17,Morning,Tuesday,Snowy,Phone,Yes,Yes,No
INC0014,16,Morning,Saturday,Foggy,Phone,No,No,No
INC0015,17,Evening,Saturday,Snowy,Music,Yes,No,Yes
INC0016,19,Evening,Monday,Windy,Phone,No,No,No
INC0017,18,Night,Wednesday,Clear,Friends,No,Yes,Yes
INC0018,17,Afternoon,Monday,Snowy,Friends,Yes,No,No
INC0019,17,Evening,Monday,Rainy,None,No,Yes,Yes
INC0020,19,Afternoon,Tuesday,Windy,Music,Yes,No,No
INC0021,18,Afternoon,Sunday,Clear,None,No,Yes,Yes
INC0022,19,Night,Saturday,Snowy,Phone,Yes,No,Yes
INC0023,16,Evening,Tuesday,Snowy,None,No,Yes,No
INC0024,16,Morning,Tuesday,Snowy,Music,No,No,No
INC0025,19,Morning,Friday,Foggy,None,No,No,Yes
INC0026,16,Evening,Friday,Clear,Music,No,Yes,Yes
INC0027,17,Night,Saturday,Foggy,Phone,No,No,No
INC0028,18,Morning,Friday,Windy,None,No,Yes,No
INC0029,19,Afternoon,Sunday,Snowy,Friends,Yes,Yes,Yes
INC0030,18,Night,Tuesday,Rainy,None,No,Yes,No
INC0031,19,Afternoon,Tuesday,Rainy,Phone,Yes,Yes,No
INC0032,18,Afternoon,Wednesday,Clear,Friends,No,No,Yes
INC0033,16,Morning,Wednesday,Rainy,None,No,Yes,Yes
INC0034,18,Night,Wednesday,Foggy,Music,No,No,Yes
INC0035,19,Afternoon,Thursday,Windy,None,Yes,No,Yes
INC0036,16,Evening,Sunday,Windy,Phone,No,Yes,No
INC0037,18,Evening,Tuesday,Clear,Music,Yes,No,Yes
INC0038,16,Afternoon,Thursday,Clear,Music,Yes,No,No
INC0039,18,Afternoon,Tuesday,Snowy,Music,No,No,No
INC0040,16,Evening,Monday,Foggy,None,No,No,Yes
INC0041,18,Evening,Friday,Clear,Friends,No,Yes,Yes
INC0042,16,Evening,Friday,Foggy,Friends,Yes,No,Yes
INC0043,17,Morning,Thursday,Foggy,None,Yes,Yes,Yes
INC0044,18,Afternoon,Friday,Clear,Phone,No,No,No
INC0045,16,Evening,Wednesday,Rainy,None,Yes,No,Yes
INC0046,17,Morning,Wednesday,Snowy,Music,No,No,Yes
INC0047,17,Evening,Monday,Clear,Music,No,No,No
INC0048,17,Evening,Monday,Windy,None,Yes,Yes,Yes
INC0049,17,Night,Sunday,Snowy,Friends,No,No,No
INC0050,18,Night,Friday,Snowy,Phone,No,No,No
INC0051,17,Evening,Saturday,Rainy,None,Yes,No,No
INC0052,19,Evening,Saturday,Windy,Music,No,Yes,No
INC0053,18,Afternoon,Tuesday,Rainy,Friends,Yes,No,No
INC0054,17,Evening,Tuesday,Rainy,Friends,Yes,No,Yes
INC0055,17,Evening,Monday,Foggy,Music,No,No,No
INC0056,16,Morning,Saturday,Rainy,Music,Yes,No,No
INC0057,18,Night,Thursday,Clear,None,No,No,Yes
INC0058,17,Afternoon,Saturday,Windy,None,Yes,No,Yes
INC0059,18,Morning,Wednesday,Windy,Music,Yes,Yes,No
INC0060,17,Evening,Thursday,Foggy,Music,No,No,Yes
INC0061,17,Evening,Sunday,Windy,Friends,Yes,No,Yes
INC0062,18,Night,Monday,Clear,None,No,No,No
INC0063,17,Evening,Thursday,Foggy,None,Yes,No,No
INC0064,16,Evening,Friday,Windy,Friends,No,Yes,No
INC0065,18,Afternoon,Wednesday,Snowy,Phone,Yes,No,No
INC0066,18,Afternoon,Thursday,Windy,Phone,Yes,Yes,Yes
INC0067,18,Night,Wednesday,Rainy,Friends,No,Yes,Yes
INC0068,16,Evening,Monday,Windy,Friends,No,Yes,No
INC0069,18,Night,Friday,Clear,Friends,No,Yes,Yes
INC0070,16,Morning,Tuesday,Clear,None,No,No,No
INC0071,17,Afternoon,Sunday,Clear,Phone,Yes,Yes,Yes
INC0072,19,Morning,Friday,Clear,Friends,Yes,No,No
INC0073,18,Night,Monday,Clear,None,Yes,No,Yes
INC0074,19,Night,Wednesday,Windy,Friends,No,No,No
INC0075,18,Evening,Tuesday,Foggy,Phone,No,Yes,Yes
INC0076,19,Evening,Monday,Windy,Music,No,No,Yes
INC0077,19,Evening,Monday,Foggy,Music,Yes,No,Yes
INC0078,17,Evening,Sunday,Windy,Music,No,No,Yes
INC0079,17,Afternoon,Thursday,Clear,Music,Yes,Yes,No
INC0080,18,Morning,Saturday,Snowy,Friends,No,No,No
INC0081,18,Morning,Tuesday,Foggy,None,No,Yes,Yes
INC0082,19,Afternoon,Wednesday,Foggy,Phone,Yes,Yes,Yes
INC0083,19,Afternoon,Saturday,Windy,Music,Yes,No,Yes
INC0084,16,Night,Tuesday,Foggy,None,No,Yes,No
INC0085,18,Night,Wednesday,Rainy,Phone,No,No,Yes
INC0086,18,Morning,Friday,Foggy,None,Yes,No,No
INC0087,18,Afternoon,Sunday,Snowy,Friends,No,Yes,Yes
INC0088,19,Morning,Saturday,Foggy,None,No,No,No
INC0089,16,Morning,Friday,Rainy,None,No,No,No
INC0090,19,Night,Sunday,Clear,Phone,No,Yes,Yes
INC0091,19,Morning,Friday,Rainy,Phone,Yes,No,Yes
INC0092,18,Evening,Friday,Foggy,Music,Yes,Yes,Yes
INC0093,16,Morning,Thursday,Windy,Friends,Yes,Yes,Yes
INC0094,18,Night,Thursday,Windy,Music,No,No,Yes
INC0095,16,Evening,Thursday,Snowy,None,Yes,No,No
INC0096,18,Afternoon,Wednesday,Clear,Friends,No,Yes,No
INC0097,18,Evening,Wednesday,Windy,Phone,Yes,No,Yes
INC0098,19,Afternoon,Tuesday,Rainy,None,No,No,No
INC0099,17,Evening,Wednesday,Windy,None,No,No,No
INC0100,17,Afternoon,Sunday,Snowy,None,Yes,Yes,Yes
