IncidentID,Age,TimeOfDay,DayOfWeek,WeatherCondition,Distraction,Speeding,SeatbeltUsed,Fatality
1,17,Afternoon,Tuesday,Windy,Phone,Yes,Yes,No
2,16,Evening,Tuesday,Foggy,None,No,Yes,No
3,16,Evening,Tuesday,Windy,Phone,No,Yes,No
4,16,Morning,Sunday,Clear,Music/Radio,Yes,Yes,Yes
5,19,Night,Thursday,Windy,None,Yes,Yes,Yes
6,16,Afternoon,Tuesday,Foggy,Music/Radio,Yes,Yes,No
7,17,Night,Wednesday,Clear,Passenger,Yes,Yes,No
8,19,Morning,Wednesday,Windy,Phone,No,No,No
9,16,Evening,Sunday,Snowy,Eating/Drinking,No,Yes,Yes
10,18,Evening,Tuesday,Rainy,Music/Radio,No,Yes,No
11,16,Evening,Saturday,Rainy,Phone,Yes,Yes,Yes
12,18,Night,Monday,Snowy,Passenger,Yes,Yes,No
13,18,Evening,Thursday,Clear,Eating/Drinking,No,Yes,No
14,18,Afternoon,Wednesday,Clear,Phone,No,No,Yes
15,18,Night,Wednesday,Foggy,Eating/Drinking,No,No,Yes
16,18,Evening,Tuesday,Clear,None,Yes,No,Yes
17,18,Afternoon,Wednesday,Clear,Music/Radio,Yes,No,Yes
18,18,Morning,Thursday,Snowy,Passenger,Yes,Yes,Yes
19,16,Afternoon,Thursday,Snowy,Music/Radio,No,Yes,No
20,16,Afternoon,Thursday,Windy,Music/Radio,No,Yes,Yes
21,16,Afternoon,Friday,Windy,None,No,Yes,No
22,16,Morning,Saturday,Rainy,None,No,No,No
23,17,Afternoon,Tuesday,Snowy,Phone,Yes,Yes,No
24,18,Night,Monday,Foggy,Music/Radio,No,No,No
25,19,Evening,Monday,Foggy,Phone,No,No,Yes
26,18,Evening,Thursday,Snowy,Eating/Drinking,No,Yes,Yes
27,17,Morning,Friday,Snowy,Phone,Yes,Yes,No
28,17,Afternoon,Sunday,Foggy,Music/Radio,Yes,No,Yes
29,16,Night,Tuesday,Rainy,Eating/Drinking,No,Yes,Yes
30,16,Night,Saturday,Foggy,None,Yes,Yes,Yes
31,18,Evening,Wednesday,Windy,None,No,No,Yes
32,17,Night,Tuesday,Windy,Phone,No,No,Yes
33,16,Afternoon,Monday,Snowy,Passenger,Yes,No,No
34,19,Night,Thursday,Snowy,Eating/Drinking,No,Yes,No
35,17,Night,Thursday,Foggy,Eating/Drinking,Yes,Yes,Yes
36,17,Night,Monday,Rainy,None,Yes,Yes,No
37,19,Afternoon,Thursday,Snowy,Eating/Drinking,No,No,No
38,19,Night,Thursday,Rainy,Eating/Drinking,No,Yes,Yes
39,16,Evening,Monday,Clear,None,No,Yes,Yes
40,19,Morning,Sunday,Snowy,Eating/Drinking,No,No,Yes
41,17,Evening,Monday,Rainy,Passenger,No,No,Yes
42,19,Evening,Sunday,Rainy,Phone,Yes,Yes,Yes
43,18,Evening,Thursday,Snowy,Phone,No,Yes,No
44,18,Morning,Tuesday,Foggy,Phone,Yes,Yes,No
45,18,Evening,Monday,Rainy,None,Yes,No,No
46,19,Night,Thursday,Snowy,Music/Radio,No,No,Yes
47,17,Evening,Wednesday,Foggy,None,No,No,No
48,17,Afternoon,Monday,Clear,None,Yes,No,Yes
49,16,Evening,Tuesday,Foggy,None,No,Yes,Yes
50,17,Evening,Sunday,Windy,Passenger,Yes,No,No
51,19,Morning,Saturday,Clear,Passenger,Yes,No,No
52,18,Afternoon,Sunday,Snowy,Eating/Drinking,No,No,Yes
53,18,Afternoon,Saturday,Windy,Eating/Drinking,Yes,No,No
54,17,Afternoon,Sunday,Rainy,None,No,No,Yes
55,16,Morning,Monday,Snowy,Eating/Drinking,No,Yes,Yes
56,19,Evening,Saturday,Rainy,Passenger,Yes,Yes,No
57,19,Night,Monday,Foggy,Phone,Yes,No,No
58,16,Evening,Wednesday,Windy,Eating/Drinking,Yes,Yes,Yes
59,16,Afternoon,Wednesday,Clear,Passenger,Yes,Yes,No
60,18,Morning,Wednesday,Foggy,None,No,No,Yes
61,19,Afternoon,Saturday,Clear,Phone,No,Yes,Yes
62,18,Morning,Sunday,Foggy,Eating/Drinking,No,Yes,Yes
63,18,Morning,Tuesday,Windy,Phone,Yes,Yes,Yes
64,18,Evening,Saturday,Rainy,Passenger,Yes,Yes,No
65,17,Evening,Friday,Clear,Music/Radio,Yes,No,No
66,18,Afternoon,Saturday,Clear,Phone,No,No,No
